,index,Año_encuesta,Region,PIA,PIM,Certificacion,Compromiso_anual,Atencion_compromiso_mensual,Devengado,Girado,%_avance,indice_anemia
0,0,2012,AMAZONAS,11191701,30863934,23498008,23479887,23479887,23294145,23234353,75.5,0.506562779
1,1,2012,ANCASH,15942893,35719402,33074312,33062196,33062196,33055555,33047161,92.5,0.377094065
2,2,2012,APURIMAC,15107478,37078560,33837303,33836291,33836291,33833485,33816870,91.2,0.474472027
3,3,2012,AREQUIPA,14648752,26654790,24909626,24909626,24909626,24878266,24869922,93.3,0.440864279
4,4,2012,AYACUCHO,35038640,60654161,53013997,53011968,53011968,52781821,52756197,87.0,0.562412959
5,5,2012,CAJAMARCA,49490131,59523770,54821616,54726284,54726284,53758001,53615513,90.3,0.439220768
6,6,2012,CUSCO,21722696,41154112,37828148,37828136,37828136,37724260,37712661,91.7,0.507211825
7,7,2012,HUANCAVELICA,18571667,69107629,59585397,58424931,58424931,58383079,58363030,84.5,0.642656913
8,8,2012,HUANUCO,22002784,40276086,33266076,33262388,33262388,33220735,33211967,82.5,0.50852593
9,9,2012,ICA,15533733,31117338,27676564,27639164,27639164,27633000,27617460,88.8,0.398638823
10,10,2012,JUNIN,26855808,41371758,39072001,38552330,38552330,38527673,38516540,93.1,0.400801334
11,11,2012,LA LIBERTAD,23647416,45914484,42246196,42246196,42246196,42231454,42228177,92.0,0.500344841
12,12,2012,LAMBAYEQUE,14161073,24871512,22454675,22445338,22445338,22440868,22436882,90.2,0.38347155
13,13,2012,LORETO,18693846,36242780,33390090,33390010,33390010,33390010,33318174,92.1,0.572915263
14,14,2012,MADRE DE DIOS,4138341,7116767,5817048,5817048,5817048,5776190,5776184,81.2,0.593822733
15,15,2012,MOQUEGUA,7037997,15783280,14151512,14144601,14144601,14143863,14142978,89.6,0.379227674
16,16,2012,PASCO,9889132,13558368,11346714,11339243,11553620,11544170,11542322,85.1,0.553794588
17,17,2012,PIURA,34919698,53365496,51503622,51406455,51406455,51357911,51303927,96.2,0.411941426
18,18,2012,PUNO,48073626,60186087,49210700,49178720,49178720,48840082,48822782,81.1,0.737332488
19,19,2012,SAN MARTIN,14166269,25354585,23243334,23155436,23155436,23114374,23113347,91.2,0.388382941
20,20,2012,TACNA,12227345,16655161,15483562,15483538,15483538,15362286,15362286,92.2,0.357996991
21,21,2012,TUMBES,7749689,13010431,12568704,12568704,12568704,12566322,12562704,96.6,0.502972308
22,22,2012,UCAYALI,13095287,20018202,19329290,19324233,19324233,19310972,19310192,96.5,0.548287643
23,23,2012,LIMA,13516011,30265234,27961872,27945367,27945367,27871231,27867907,92.1,0.508248613
24,24,2012,CALLAO,15950443,26097583,25336790,25340519,25340519,25340519,25320394,97.1,0.403533977
25,25,2013,AMAZONAS,17941304,36592835,32331099,32330413,32330413,32186180,32112587,88.0,0.472314212
26,26,2013,ANCASH,25637522,38356251,36609171,36454276,36454276,36399113,36390941,94.9,0.398348092
27,27,2013,APURIMAC,22149502,47649749,44668768,44668768,44668768,44646879,44640700,93.7,0.484074396
28,28,2013,AREQUIPA,15317701,29005638,28309303,28283562,28283562,28271499,28264331,97.5,0.394005374
29,29,2013,AYACUCHO,36763350,72435232,63030616,63030476,63030476,62829482,62825566,86.7,0.543010992
30,30,2013,CAJAMARCA,38948246,75126798,65349725,64586552,64586552,64469969,64436597,85.8,0.505461704
31,31,2013,CUSCO,26596820,46979158,45099705,45098191,45098191,45087989,45079141,96.0,0.559865721
32,32,2013,HUANCAVELICA,44674718,83866416,78198129,75934839,75934839,75605154,75542331,90.1,0.543324374
33,33,2013,HUANUCO,26818515,52815583,49290831,49290831,49290831,49213183,49128315,93.2,0.511846936
34,34,2013,ICA,16792301,32209265,30918853,30918853,30918853,30875978,30870489,95.9,0.367738048
35,35,2013,JUNIN,30406613,43105640,41465645,41471512,41471512,41452854,41440883,96.2,0.625611997
36,36,2013,LA LIBERTAD,39962120,67938288,62093574,62093574,62093574,62069983,62060453,91.4,0.449685081
37,37,2013,LAMBAYEQUE,18721895,34978599,30343891,30333695,30332695,30219650,30187412,86.4,0.409909944
38,38,2013,LORETO,22887555,36483617,31685799,31681643,31681643,31666000,31611241,86.8,0.574446762
39,39,2013,MADRE DE DIOS,15202083,7102733,6744192,6744192,6744192,6743912,6743894,94.9,0.613415998
40,40,2013,MOQUEGUA,12860807,20131883,19715554,19700298,19700298,19696523,19673886,97.8,0.283583102
41,41,2013,PASCO,8779164,16247341,14892500,14892500,14892500,14892410,14890910,91.7,0.58977493
42,42,2013,PIURA,44211902,67479106,61867164,61862578,61862578,61786717,61777092,91.6,0.439307238
43,43,2013,PUNO,48959319,75688765,70167362,70167191,70167191,69804021,69681395,92.2,0.791005654
44,44,2013,SAN MARTIN,17872937,33184617,31869139,31866982,31866982,31859510,31855285,96.0,0.316750852
45,45,2013,TACNA,14000188,18985910,18750577,18747060,18747060,18732987,18732931,98.7,0.502602212
46,46,2013,TUMBES,10679752,12694759,12560851,12560851,12560851,12560830,12560830,98.9,0.5484766
47,47,2013,UCAYALI,16924906,24926772,24208541,24206169,24206169,24186618,24182738,97.0,0.536247104
48,48,2013,LIMA,20901707,30855643,29333002,29303338,29303338,29142841,29133823,94.4,0.425526308
49,49,2013,CALLAO,18057650,26500170,26126841,26126559,26126559,26103179,26087978,98.5,0.580044482
50,50,2014,AMAZONAS,61225836,50027533,45856331,45849189,45845470,45823494,45744010,91.6,0.595112979
51,51,2014,ANCASH,31438499,54802404,51312822,49322619,49322619,49264354,49263863,89.9,0.458228568
52,52,2014,APURIMAC,27693793,45962338,45261068,45261068,45261068,45238028,45228924,98.4,0.530101244
53,53,2014,AREQUIPA,15639397,37945273,37182100,37182096,37182096,37167586,37133998,98.0,0.391648273
54,54,2014,AYACUCHO,49502828,147497406,141734889,141730796,141730796,140911462,140904631,95.5,0.457801553
55,55,2014,CAJAMARCA,41044909,96316564,89869230,89775394,89775394,89449235,89253244,92.9,0.485376003
56,56,2014,CUSCO,26905871,54141938,53419618,53346247,53346247,53218336,53156447,98.3,0.562806342
57,57,2014,HUANCAVELICA,63452087,75708232,70253591,70228348,70228348,69780633,69719670,92.2,0.636908184
58,58,2014,HUANUCO,28486554,58486171,54861233,54861233,54861233,53907556,53883054,92.2,0.442771778
59,59,2014,ICA,19570339,42334071,34836062,34831216,34831216,34820963,34813493,82.3,0.367737894
60,60,2014,JUNIN,30795067,49330495,48277660,48277660,48277660,48236199,48227494,97.8,0.640148461
61,61,2014,LA LIBERTAD,42704679,74223397,69112423,69112423,69112423,69055951,69053183,93.0,0.408556688
62,62,2014,LAMBAYEQUE,23493198,41095222,37472475,37472327,37464827,37339422,37329895,90.9,0.357533105
63,63,2014,LORETO,24278627,48341994,45690849,45683964,45683964,45229153,45201375,93.6,0.59205945
64,64,2014,MADRE DE DIOS,19623127,8058417,7457465,7457465,7457285,7456365,7455611,92.5,0.684137994
65,65,2014,MOQUEGUA,14570047,25553067,25459466,25454088,25454088,25435642,25434022,99.5,0.36141388
