,index,region,Nombre_region,ano,indice_objetivo,indice_real
0,0,0,Peru,2017,0.436,0.4360930491018939
1,1,0,Peru,2018,0.42,0.4354501221706584
2,2,0,Peru,2019,0.39,0.40062233601593117
3,3,0,Peru,2020,0.3,0.39968424053926666
4,4,0,Peru,2021,0.19,0.38807829737715965
5,5,0,Peru,2009,0.0,0.5035057217666851
6,6,0,Peru,2010,0.0,0.5034638470642994
7,7,0,Peru,2011,0.0,0.41601350998294495
8,8,0,Peru,2012,0.0,0.4445344137329963
9,9,0,Peru,2013,0.0,0.4639623619101148
10,10,0,Peru,2014,0.0,0.46846936668201183
11,11,0,Peru,2015,0.0,0.4350929305612962
12,12,0,Peru,2016,0.0,0.4359167451773757
13,13,1,Amazonas,2017,0.388,0.5115723568768299
14,14,2,Ancash,2017,0.366,0.42848246720668265
15,15,3,Apurimac,2017,0.465,0.5420908767377075
16,16,4,Arequipa,2017,0.387,0.3415620997343317
17,17,5,Ayacucho,2017,0.46,0.48328181661300973
18,18,6,Cajamarca,2017,0.273,0.3759083116884552
19,19,7,Callao,2017,0.381,0.32387878772041956
20,20,8,Cusco,2017,0.491,0.5532107303477973
21,21,9,Huancavelica,2017,0.503,0.5467892110519924
22,22,10,Huanuco,2017,0.425,0.44705823713954224
23,23,11,Ica,2017,0.357,0.40505140678096735
24,24,12,Junin,2017,0.508,0.5334926619952431
25,25,13,La Libertad,2017,0.33,0.41773282072749074
26,26,14,Lambayeque,2017,0.363,0.37644979133520706
27,27,15,Loreto,2017,0.528,0.6154625337310643
28,28,16,Madre de Dios,2017,0.506,0.5730889717161596
29,29,17,Moquegua,2017,0.36,0.3723439964802692
30,30,18,Pasco,2017,0.527,0.5802579584675336
31,31,19,Piura,2017,0.313,0.4225264533700708
32,32,20,Puno,2017,0.66,0.7585836162349692
33,33,21,San Martin,2017,0.42,0.5068541947029425
34,34,22,Tacna,2017,0.312,0.36961883404242785
35,35,23,Tumbes,2017,0.424,0.46795008199026517
36,36,24,Ucayali,2017,0.503,0.5913482744063688
37,37,25,Lima,2017,0.356,0.43901716124916196
38,38,1,Amazonas,2018,0.34,0.4451313180762193
39,39,2,Ancash,2018,0.328,0.4573929385711034
40,40,3,Apurimac,2018,0.407,0.5321269481748455
41,41,4,Arequipa,2018,0.339,0.3838688609575568
42,42,5,Ayacucho,2018,0.392,0.49334090747760656
43,43,6,Cajamarca,2018,0.243,0.31920807200769813
44,44,7,Callao,2018,0.334,0.37002806861612125
45,45,8,Cusco,2018,0.416,0.5418994886570654
46,46,9,Huancavelica,2018,0.424,0.5579054359160458
47,47,10,Huanuco,2018,0.379,0.4384529939794608
48,48,11,Ica,2018,0.313,0.43051802928679606
49,49,12,Junin,2018,0.466,0.5704917226031411
50,50,13,La Libertad,2018,0.275,0.37856204241900004
51,51,14,Lambayeque,2018,0.343,0.4098683425468728
52,52,15,Loreto,2018,0.462,0.5743989173426525
53,53,16,Madre de Dios,2018,0.456,0.5479754043533945
54,54,17,Moquegua,2018,0.33,0.3389997824027
55,55,18,Pasco,2018,0.461,0.586839116381276
56,56,19,Piura,2018,0.274,0.44204852920468896
57,57,20,Puno,2018,0.578,0.6768328897216394
58,58,21,San Martin,2018,0.368,0.5014169531055812
59,59,22,Tacna,2018,0.273,0.34900423584386286
60,60,23,Tumbes,2018,0.372,0.4715709742164927
61,61,24,Ucayali,2018,0.414,0.5638851903021227
62,62,25,Lima,2018,0.311,0.40454237114465186
63,63,1,Amazonas,2019,0.292,0.3638067684495726
64,64,2,Ancash,2019,0.29,0.4023294883192075
65,65,3,Apurimac,2019,0.35,0.4794919508922415
66,66,4,Arequipa,2019,0.291,0.33907577162179464
67,67,5,Ayacucho,2019,0.325,0.4502422942997144
68,68,6,Cajamarca,2019,0.213,0.28740384334884916
69,69,7,Callao,2019,0.286,0.35306276205798237
70,70,8,Cusco,2019,0.341,0.573849995391123
71,71,9,Huancavelica,2019,0.36,0.5421262116499233
72,72,10,Huanuco,2019,0.332,0.39110408479060177
73,73,11,Ica,2019,0.269,0.3754529538200182
74,74,12,Junin,2019,0.424,0.5255398011700488
75,75,13,La Libertad,2019,0.235,0.3421155122192675
76,76,14,Lambayeque,2019,0.313,0.3904623070156101
77,77,15,Loreto,2019,0.397,0.5297186632065569
78,78,16,Madre de Dios,2019,0.384,0.51412120996413
79,79,17,Moquegua,2019,0.29,0.3316306025214164
80,80,18,Pasco,2019,0.396,0.5022193975853946
81,81,19,Piura,2019,0.235,0.4377443096379162
82,82,20,Puno,2019,0.496,0.6991431226454757
83,83,21,San Martin,2019,0.316,0.4427991686586341
84,84,22,Tacna,2019,0.234,0.3270113449242923
85,85,23,Tumbes,2019,0.319,0.44434766666042647
86,86,24,Ucayali,2019,0.356,0.5372309451637586
87,87,25,Lima,2019,0.267,0.39645431295458194
88,88,1,Amazonas,2020,0.243,0.32138715999552914
89,89,2,Ancash,2020,0.251,0.3562285931589727
90,90,3,Apurimac,2020,0.292,0.5199649580269372
91,91,4,Arequipa,2020,0.243,0.4696705262232601
92,92,5,Ayacucho,2020,0.258,0.44974601183846824
93,93,6,Cajamarca,2020,0.183,0.39536608661653094
94,94,7,Callao,2020,0.239,0.30162664525621596
95,95,8,Cusco,2020,0.266,0.4965731892584054
96,96,9,Huancavelica,2020,0.306,0.448408841335039
97,97,10,Huanuco,2020,0.284,0.42230290326260767
98,98,11,Ica,2020,0.224,0.33928687052462897
99,99,12,Junin,2020,0.382,0.45624199317914305
100,100,13,La Libertad,2020,0.2,0.3855154719834157
101,101,14,Lambayeque,2020,0.248,0.37592658897822134
102,102,15,Loreto,2020,0.331,0.47990304777885434
103,103,16,Madre de Dios,2020,0.284,0.5860296424136463
104,104,17,Moquegua,2020,0.24,0.321861287574493
105,105,18,Pasco,2020,0.331,0.4891491737212745
106,106,19,Piura,2020,0.197,0.42630856568431374
107,107,20,Puno,2020,0.414,0.6877222011093989
108,108,21,San Martin,2020,0.264,0.4658013541036626
109,109,22,Tacna,2020,0.195,0.25757816266055167
110,110,23,Tumbes,2020,0.266,0.39115507962291723
111,111,24,Ucayali,2020,0.297,0.6080299839722358
112,112,25,Lima,2020,0.223,0.3104927909164997
113,113,1,Amazonas,2021,0.194,0.3765385702381294
114,114,2,Ancash,2021,0.212,0.40894018841497654
115,115,3,Apurimac,2021,0.233,0.5106297190183197
116,116,4,Arequipa,2021,0.194,0.38436619991861354
117,117,5,Ayacucho,2021,0.19,0.49812743259551695
118,118,6,Cajamarca,2021,0.153,0.3288455557442183
119,119,7,Callao,2021,0.191,0.29264259716503255
120,120,8,Cusco,2021,0.191,0.5405271941827625
121,121,9,Huancavelica,2021,0.233,0.5740456027306351
122,122,10,Huanuco,2021,0.235,0.403219118573618
123,123,11,Ica,2021,0.179,0.36327051377031017
124,124,12,Junin,2021,0.339,0.4558427408050414
125,125,13,La Libertad,2021,0.16,0.35088959101859984
126,126,14,Lambayeque,2021,0.198,0.3566842655106296
127,127,15,Loreto,2021,0.265,0.5171362012163971
128,128,16,Madre de Dios,2021,0.2,0.5844322006946044
129,129,17,Moquegua,2021,0.19,0.3403201105552969
130,130,18,Pasco,2021,0.264,0.5049143757963999
131,131,19,Piura,2021,0.157,0.36720396738911926
132,132,20,Puno,2021,0.29,0.7035060487792378
133,133,21,San Martin,2021,0.21,0.41851025707976525
134,134,22,Tacna,2021,0.173,0.25573719178363413
135,135,23,Tumbes,2021,0.213,0.3972555654118833
136,136,24,Ucayali,2021,0.237,0.6080984752655643
137,137,25,Lima,2021,0.178,0.3769411175816147
